group,date,value
Windows 7,1301,149
Windows 7,1302,2
Windows 7,1304,3
Windows 7,1304,11
Windows 7,1304,152
Windows 7,1306,149
Windows 7,1306,1
Windows 7,1308,1
Windows 7,1308,259
Windows 7,1309,2
Windows 7,1310,12
Windows 7,1310,371
Windows 7,1311,1
Windows 7,1312,251
Windows 7,1402,747
Windows 7,1402,6
Windows 7,1403,30
Windows 7,1404,248
Windows 7,1404,97
Windows 7,1405,2
Windows 7,1405,164
Windows 7,1405,4
Windows 7,1405,22
Windows 7,1406,293
Windows 7,1407,200
Windows 7,1408,477
Windows 7,1408,1
Windows 7,1409,76
Windows 7,1409,197
Windows 7,1410,16
Windows 7,1410,149
Windows 7,RF11,2
Windows 8,1404,2
Windows 8,1405,1
Windows 8,1405,1
Windows 8,1405,4
Windows 8,1407,1
Windows 8,1407,8
Windows 8,1408,6
Windows 8,1408,14
Windows 8,1409,8
Windows 8,1409,11
Windows 8,1410,22
Windows 8,1411,2
Mac OS X 10.9,Beta1312,5
Mac OS X 10.9,Beta1402,6
Mac OS X 10.9,1405,30
Mac OS X 10.9,1407,207
Mac OS X 10.9,1409,168
Mac OS X 10.9,selfenrolled,30
