group	date	value
7	2013-01	149
7	2013-02	2
7	2013-04	3
7	2013-04	11
7	2013-04	152
7	2013-06	149
7	2013-06	1
7	2013-08	1
7	2013-08	259
7	2013-09	2
7	2013-10	12
7	2013-10	371
7	2013-11	1
7	2013-12	251
7	2014-02	747
7	2014-02	6
7	2014-03	30
7	2014-04	248
7	2014-04	97
7	2014-05	2
7	2014-05	164
7	2014-05	4
7	2014-05	22
7	2014-06	293
7	2014-07	200
7	2014-08	477
7	2014-08	1
7	2014-09	76
7	2014-09	197
7	2014-10	16
7	2014-10	149
8	2014-04	2
8	2014-05	1
8	2014-05	1
8	2014-05	4
8	2014-07	1
8	2014-07	8
8	2014-08	6
8	2014-08	14
8	2014-09	8
8	2014-09	11
8	2014-10	22
8	2014-11	2
10	2013-12	5
10	2014-02	6
10	2014-05	30
10	2014-07	207
10	2014-09	168
